Income = 1
Tax = 0 
Income = 2
Tax = 0 
Income = 3
Tax = 0 
Income = 4
Tax = 1 
Income = 5
Tax = 1 
Income = 6
Tax = 1 
Income = 7
Tax = 2 
Income = 8
Tax = 2 
Income = 9
Tax = 2 
Income = 10
Tax = 3 
Income = 11
Tax = 3 
Income = 12
Tax = 3 
Income = 13
Tax = 3 
Income = 14
Tax = 4 
Income = 15
Tax = 4 
Income = 16
Tax = 4 
Income = 17
Tax = 5 
Income = 18
Tax = 5 
Income = 19
Tax = 5 
Income = 20
Tax = 6 
Income = 21
Tax = 6 
Income = 22
Tax = 6 
Income = 23
Tax = 6 
Income = 24
Tax = 7 
Income = 25
Tax = 7 
Income = 26
Tax = 7 
Income = 27
Tax = 8 
Income = 28
Tax = 8 
Income = 29
Tax = 8 
Income = 30
Tax = 9 
Income = 31
Tax = 9 
Income = 32
Tax = 9 
Income = 33
Tax = 9 
Income = 34
Tax = 10 
Income = 35
Tax = 10 
Income = 36
Tax = 10 
Income = 37
Tax = 11 
Income = 38
Tax = 11 
Income = 39
Tax = 11 
Income = 40
Tax = 12 
Income = 41
Tax = 12 
Income = 42
Tax = 12 
Income = 43
Tax = 12 
Income = 44
Tax = 13 
Income = 45
Tax = 13 
Income = 46
Tax = 13 
Income = 47
Tax = 14 
Income = 48
Tax = 14 
Income = 49
Tax = 14 
Income = 50
Tax = 15 
Income = 51
Tax = 15 
Income = 52
Tax = 15 
Income = 53
Tax = 15 
Income = 54
Tax = 16 
Income = 55
Tax = 16 
Income = 56
Tax = 16 
Income = 57
Tax = 17 
Income = 58
Tax = 17 
Income = 59
Tax = 17 
Income = 60
Tax = 18 
Income = 61
Tax = 18 
Income = 62
Tax = 18 
Income = 63
Tax = 18 
Income = 64
Tax = 19 
Income = 65
Tax = 19 
Income = 66
Tax = 19 
Income = 67
Tax = 20 
Income = 68
Tax = 20 
Income = 69
Tax = 20 
Income = 70
Tax = 21 
Income = 71
Tax = 21 
Income = 72
Tax = 21 
Income = 73
Tax = 21 
Income = 74
Tax = 22 
Income = 75
Tax = 22 
Income = 76
Tax = 22 
Income = 77
Tax = 23 
Income = 78
Tax = 23 
Income = 79
Tax = 23 
Income = 80
Tax = 24 
Income = 81
Tax = 24 
Income = 82
Tax = 24 
Income = 83
Tax = 24 
Income = 84
Tax = 25 
Income = 85
Tax = 25 
Income = 86
Tax = 25 
Income = 87
Tax = 26 
Income = 88
Tax = 26 
Income = 89
Tax = 26 
Income = 90
Tax = 27 
Income = 91
Tax = 27 
Income = 92
Tax = 27 
Income = 93
Tax = 27 
Income = 94
Tax = 28 
Income = 95
Tax = 28 
Income = 96
Tax = 28 
Income = 97
Tax = 29 
Income = 98
Tax = 29 
Income = 99
Tax = 29 
Income = 100
Tax = 30 
